Gene	OF3_OO_sc.1	OF3_OO_sc.2	OF3_OO_sc.3	OF3_OO_sc.4	OF3_OO_sc.5	OF3_OO_sc.6	OF3_OO_sc.7	OF3_OO_sc.8	OF3_OO_sc.9	OF3_OO_sc.10	OF3_OO_sc.11	OF3_OO_sc.12	OF3_OO_sc.13	OF3_OO_sc.14	OF3_OO_sc.15	OF3_OO_sc.16	OF3_OO_sc.17	OF3_OO_sc.18	OF3_OO_sc.19	OF3_OO_sc.20	OF3_OO_sc.21	OF3_OO_sc.22	OF3_OO_sc.23	OF3_OO_sc.24	OF3_OO_sc.25	OF3_OO_sc.26	OF3_OO_sc.27	OF3_OO_sc.28	OF3_OO_sc.29	OF3_OO_sc.30	OF3_OO_sc.31	OF3_OO_sc.32	OF3_OO_sc.33	OF3_OO_sc.34	OF3_OO_sc.35	OF3_OO_sc.36	OF3_OO_sc.37	OF3_OO_sc.38	OF3_OO_sc.39	OF3_OO_sc.40	OF3_OO_sc.41	OF3_OO_sc.42	OF3_OO_sc.43	OF3_OO_sc.44
ABCB6	2	1	1	0	1	1	2	2	0	0	0	8	2	3	0	4	1	1	6	7	1	0	0	4	1	0	5	0	1	9	1	0	0	0	1	2	0	0	5	0	3	2	0	0
ABCB7	3	1	2	0	3	0	4	7	0	8	1	24	0	1	6	23	4	11	14	35	9	6	0	7	3	0	21	3	14	13	7	7	1	4	0	3	3	1	7	5	3	2	1	2
ABCB8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB9	0	1	0	0	0	1	0	0	0	0	0	3	0	0	0	5	1	1	2	4	0	0	0	0	0	0	0	0	6	6	0	2	0	0	0	1	0	0	0	0	0	0	0	0
ABCC1	1	1	1	0	0	2	1	2	0	0	1	9	0	0	2	19	0	2	2	12	0	3	0	1	1	0	10	2	16	6	2	4	0	0	0	1	0	3	1	3	2	0	0	0
ABCC10	1	1	1	0	0	0	0	0	0	1	0	5	0	0	1	7	0	3	5	19	1	5	0	0	0	0	5	0	6	6	2	5	1	0	1	0	2	3	2	1	1	2	1	0
ABCC11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC12	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ABCC2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0	0	0	0	2	0	5	5	1	2	0	0	0	0	0	0	0	0	0	0	0	0
ABCC3	1	0	0	1	1	0	1	2	0	2	0	7	0	0	0	13	0	2	6	11	0	3	0	2	1	0	3	0	9	4	3	5	0	1	0	1	1	1	3	1	0	0	2	0
ABCC4	8	6	8	1	8	9	11	20	1	21	7	107	2	4	15	139	3	52	56	111	45	19	1	7	1	0	45	2	81	70	45	26	1	4	4	6	3	3	9	10	12	0	10	0
ABCC5	1	0	1	0	0	2	0	1	0	2	3	9	0	0	1	19	0	4	3	16	8	2	1	2	0	0	9	2	14	13	5	2	0	0	0	0	1	1	5	2	0	1	0	0
ABCC6	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	0	0	0	4	1	0	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC9	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD1	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	8	0	0	1	6	1	0	1	1	0	0	4	0	1	3	4	0	0	0	0	0	0	0	0	0	0	0	2	0
ABCD2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCD3	6	0	1	1	3	7	5	10	0	5	3	29	1	7	6	52	4	14	19	66	25	4	3	5	1	1	43	2	32	34	25	17	0	1	0	3	2	6	8	10	3	2	5	1
ABCD4	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	2	1	3	0	0	0	0	0	0	2	1	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCE1	16	15	10	6	20	18	14	38	1	21	16	104	2	24	40	187	24	74	47	209	54	14	11	15	2	0	103	23	117	166	87	75	6	6	7	22	15	25	45	48	8	8	23	0
ABCF1	4	11	15	2	16	4	6	4	0	17	16	68	3	16	18	96	12	35	49	128	21	20	6	7	10	2	70	13	49	86	66	39	0	5	8	10	17	23	27	32	13	6	2	1
ABCF2	10	4	12	3	7	7	7	20	0	47	7	248	5	5	25	554	14	72	86	492	203	12	2	5	5	1	72	7	348	190	44	51	11	12	6	8	2	3	22	8	15	6	10	2
ABCF3	2	1	1	0	6	0	3	4	0	2	4	12	0	4	1	37	3	11	10	33	8	6	1	4	0	0	10	1	18	20	13	8	0	1	3	1	2	4	2	6	2	0	3	1
ABCG1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG2	2	0	0	0	0	0	0	1	0	0	0	3	0	0	1	1	0	1	3	3	0	0	1	0	0	1	3	13	0	0	0	4	0	1	0	0	1	0	0	0	0	3	0	0
ABCG4	0	1	0	0	0	0	0	0	0	1	0	1	0	0	1	1	0	1	0	2	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG5	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCG8	0	0	1	0	1	0	0	0	0	0	0	2	0	0	1	6	0	4	0	7	1	0	0	0	0	0	1	0	4	4	1	8	0	0	0	0	0	1	0	1	0	0	0	0
ABHD1	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	2	0	0	1	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
ABHD10	15	3	6	4	15	11	5	5	0	17	7	35	6	15	19	62	15	28	36	65	20	10	4	14	1	2	36	1	39	48	28	16	2	11	8	12	16	14	17	23	13	9	12	1
ABHD11	1	2	7	0	14	0	5	1	0	2	3	18	1	10	7	44	1	11	30	28	4	6	1	5	1	1	22	4	5	15	15	8	2	1	4	8	6	4	16	15	6	9	5	0
ABHD12	5	6	1	0	6	4	1	0	0	6	2	20	1	3	5	42	4	10	20	35	18	10	0	7	1	0	17	4	18	18	6	9	5	1	2	1	7	1	7	12	19	6	6	0
ABHD12B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD13	0	0	1	1	1	2	0	0	0	0	0	2	1	0	1	10	1	0	4	12	1	0	0	0	0	0	0	2	4	4	3	2	1	0	0	0	0	1	0	0	0	0	0	0
ABHD14B	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	2	0	1	0	4	0	0	0	0	0	0	0	0	5	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ABHD15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ABHD16A	1	0	1	0	3	0	1	1	0	4	4	11	0	0	4	15	0	6	10	15	4	1	1	3	0	0	1	1	7	8	6	5	1	0	0	1	0	2	1	2	1	0	2	0
ABHD16B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD17A	0	0	0	2	0	0	0	0	0	0	0	5	0	0	0	7	2	1	1	8	0	3	0	2	0	0	2	1	4	2	0	2	0	0	0	0	1	2	0	3	0	0	0	0
ABHD17B	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0
ABHD17C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD18	3	0	0	1	1	1	0	4	0	1	0	11	1	5	3	24	1	4	6	24	1	0	0	2	1	0	6	0	13	17	7	4	1	0	0	1	1	0	1	1	0	1	0	1
ABHD2	2	1	0	0	0	0	0	0	0	0	0	6	0	0	4	11	1	6	3	15	2	0	0	1	0	0	8	1	5	5	4	11	0	0	1	0	0	0	0	1	1	0	1	0
ABHD3	1	0	4	0	2	1	0	2	0	3	0	12	0	0	0	31	0	5	8	25	5	4	1	1	0	0	4	0	3	14	6	2	0	0	0	1	0	5	3	2	3	0	1	0
ABHD4	4	2	0	2	8	1	2	1	0	4	5	21	0	7	1	23	0	13	19	26	6	7	1	2	1	0	13	0	15	15	9	11	3	2	0	1	6	3	10	2	5	4	1	0
ABHD5	5	2	5	1	1	2	8	12	0	14	2	51	5	5	9	82	3	13	18	65	19	4	1	4	2	0	41	0	27	32	25	15	4	3	1	5	5	11	10	8	1	0	3	1
ABHD6	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	3	1	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0
ABHD8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABI1	9	3	7	5	6	5	4	15	0	19	13	64	6	4	15	99	9	42	35	83	31	9	1	10	3	1	62	5	62	42	32	18	4	3	1	4	2	4	6	10	3	4	6	1
ABI2	7	2	2	0	6	3	2	8	2	12	7	47	2	4	16	77	3	13	27	71	25	9	1	5	2	0	35	4	47	56	23	23	2	1	4	14	4	9	6	16	7	1	10	0
ABI3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABI3BP	12	6	13	2	5	23	7	34	0	8	8	32	1	11	24	59	10	27	14	51	31	7	1	11	1	1	33	7	52	56	30	43	8	1	5	4	8	18	21	13	2	5	7	0
ABL1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	1	9	0	0	0	0	1	0	0	0	3	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ABL2	2	0	0	0	0	0	0	2	0	0	0	2	0	2	0	3	1	2	1	5	0	1	0	0	1	0	3	3	1	1	0	5	0	1	0	4	3	1	0	1	0	0	1	0
ABLIM1	0	0	0	0	0	1	0	0	0	1	0	5	0	1	1	15	0	5	2	35	2	0	0	0	0	0	1	1	8	8	2	8	0	0	0	0	0	0	0	0	1	1	0	0
ABLIM2	0	0	0	0	0	1	0	3	0	5	2	10	0	1	2	16	0	8	4	10	5	3	1	0	0	0	12	0	13	14	9	4	1	0	0	4	1	1	2	3	2	0	1	1
ABLIM3	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	2	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0
ABO	0	0	0	0	4	2	1	0	0	0	4	6	0	4	0	10	4	0	5	7	0	2	1	2	0	0	1	1	6	2	6	5	1	1	1	2	2	0	1	2	2	1	3	0
ABR	0	0	1	2	0	1	0	2	0	0	0	3	0	2	0	4	0	2	8	3	1	1	1	0	0	0	3	1	3	4	4	5	0	2	0	2	0	1	2	1	1	1	3	0
ABRA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABRACL	7	2	3	1	2	3	3	7	0	12	5	62	1	6	9	55	6	30	19	58	15	5	1	1	1	0	46	1	20	72	41	32	0	1	1	1	4	6	9	10	3	2	5	0
ABRAXAS1	3	3	2	2	7	2	2	6	0	6	5	42	0	9	8	84	9	41	20	88	21	6	3	11	6	0	60	5	67	51	34	34	1	1	2	9	6	17	14	12	7	5	9	0
ABRAXAS2	2	7	11	0	7	7	6	7	0	11	11	42	2	11	12	58	7	19	18	70	10	13	3	15	1	0	41	7	29	40	21	31	1	4	8	14	10	11	15	28	6	5	3	0
ABT1	2	1	2	2	6	10	2	2	0	3	2	12	0	3	0	23	2	12	13	27	2	1	0	3	1	1	10	2	14	12	16	8	2	1	2	6	6	0	4	14	6	6	1	1
ABTB1	0	0	0	0	1	0	0	0	0	0	0	2	0	2	1	0	1	0	2	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	1	2	1	0	0
ABTB2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	1	1	4	1	0	0	0	1	0	0	0	1	1	1	1	0	0	0	0	0	1	0	1	0	0	1	0
ACAA1	3	2	1	0	6	1	0	2	0	5	0	13	0	10	4	23	3	2	24	9	3	6	2	2	1	1	11	1	6	6	4	3	2	3	3	5	7	6	7	4	5	2	4	3
ACAA2	3	4	6	4	10	6	6	10	0	5	7	55	6	12	18	78	10	42	34	100	37	8	3	14	3	0	60	5	51	63	24	29	1	2	1	9	18	15	19	17	13	14	7	1
ACACA	2	5	1	5	2	4	3	7	0	2	2	27	1	3	2	41	5	19	11	53	14	4	0	3	0	0	27	2	22	41	16	26	0	1	2	3	0	9	8	4	3	3	0	0
ACACB	0	0	0	0	0	3	0	0	0	1	0	0	0	0	2	3	0	1	9	2	1	0	0	1	0	0	0	0	0	3	1	1	0	0	0	1	0	0	0	0	0	0	0	0
ACAD10	0	0	1	0	0	0	2	0	0	0	0	0	0	2	0	3	0	0	1	0	1	1	0	0	0	0	2	0	1	3	1	1	0	0	0	0	0	0	1	1	0	0	0	0
ACAD11	4	0	0	0	4	2	0	4	0	6	1	24	0	0	6	43	1	8	22	47	7	2	2	1	1	0	18	1	20	34	13	12	0	0	2	2	2	4	2	7	2	0	2	0
ACAD8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	2	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ACAD9	1	0	2	0	4	3	4	3	0	2	4	28	0	2	5	42	2	8	13	52	3	6	1	11	2	1	20	2	19	20	15	20	1	1	1	1	3	3	8	11	3	3	3	3
ACADL	1	1	4	0	0	3	2	1	0	1	0	24	2	4	8	40	0	11	12	38	5	2	0	2	0	0	28	1	17	31	10	10	0	1	1	0	1	4	5	4	4	1	3	0
ACADM	2	4	10	4	8	8	5	11	0	9	10	33	1	12	12	66	7	29	15	44	23	8	1	7	1	0	33	2	15	31	24	18	1	2	6	4	7	8	13	14	7	5	13	0
ACADS	6	3	1	3	4	1	0	3	0	0	4	10	0	3	3	27	3	3	8	20	8	4	0	6	5	0	10	1	8	10	6	2	1	1	1	1	5	3	4	4	4	1	2	0
ACADSB	0	0	0	0	0	0	5	0	0	1	0	2	0	0	1	6	1	2	3	13	2	0	0	0	0	0	3	2	6	4	3	2	1	0	1	0	0	0	1	0	0	0	0	0
ACADVL	0	0	0	0	0	0	0	1	0	1	0	12	1	3	1	12	3	5	12	8	2	1	0	2	1	0	3	3	3	11	7	4	1	0	1	2	5	1	0	4	6	0	3	0
ACAN	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAP1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAP2	12	8	6	8	9	5	8	28	0	28	19	152	0	6	35	280	13	94	82	276	53	13	7	22	9	0	130	18	120	190	83	67	7	3	2	12	16	17	17	28	11	8	13	1
ACAP3	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACAT1	1	6	6	4	11	11	12	7	0	10	7	63	3	11	14	92	9	31	45	65	20	9	3	14	4	0	56	3	51	72	32	31	2	4	4	17	5	10	23	25	14	7	10	0
ACBD3	7	10	7	1	12	5	11	11	0	16	19	64	5	8	18	86	10	25	22	81	20	15	2	13	4	0	46	14	27	53	30	39	0	4	6	5	6	18	11	16	6	7	6	0
ACBD4	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ACBD5	0	1	3	5	0	3	3	1	0	1	4	18	3	0	7	29	0	7	8	27	8	0	2	1	0	0	22	2	15	26	11	17	0	0	2	1	0	6	5	6	1	1	1	0
ACBD6	4	1	1	0	3	0	5	4	0	3	5	12	1	4	3	18	1	9	10	26	4	0	0	6	2	0	12	7	5	12	8	8	0	0	1	7	2	6	9	6	4	2	0	0
ACBD7	1	0	0	0	0	0	0	0	0	0	0	1	1	0	2	7	1	1	7	2	5	0	0	0	0	0	1	0	1	3	1	2	0	0	0	0	0	0	0	1	0	0	0	0
ACCS	0	0	0	0	0	0	0	1	0	0	1	2	0	0	1	2	1	0	1	0	1	2	0	3	0	0	1	1	0	1	3	0	0	0	0	0	0	1	1	0	1	0	0	0
ACCSL	0	1	1	0	0	0	0	3	0	2	0	24	1	0	2	118	1	8	21	210	11	0	0	0	0	0	16	0	34	18	4	4	0	0	2	1	0	1	0	1	0	0	1	0
ACD	5	0	1	2	1	3	1	3	0	1	1	16	0	5	2	39	8	12	16	31	6	4	0	5	1	0	24	2	22	39	21	10	1	0	2	7	6	3	6	9	5	3	3	0
ACE2	25	8	17	7	17	25	22	38	0	27	7	148	10	20	33	403	14	65	100	469	162	26	4	20	3	1	152	7	299	300	97	103	9	8	10	24	7	41	44	44	28	16	20	5
ACER1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACER2	0	0	0	0	0	1	0	0	0	0	2	3	0	0	0	2	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ACER3	1	0	1	3	2	3	0	4	0	2	2	16	0	3	4	30	4	20	16	36	8	2	2	3	1	0	12	2	14	26	10	23	0	0	3	0	3	3	6	3	1	0	3	0
ACHE	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	2	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ACIN1	1	5	5	3	6	7	3	13	0	7	12	59	2	6	16	69	12	42	56	66	11	21	1	11	6	0	44	8	22	37	38	24	2	3	0	14	12	13	24	15	8	2	5	1
ACKR1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACKR2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACKR3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACKR4	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACLY	13	2	1	1	3	9	2	15	0	10	4	57	1	5	11	60	5	20	11	37	16	15	4	16	4	1	22	4	26	30	17	10	2	2	3	5	6	4	2	8	1	6	5	0
ACMSD	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACO1	6	1	22	6	7	12	9	11	1	9	12	61	5	8	28	63	8	29	61	130	20	9	5	13	6	0	57	8	54	79	35	23	2	4	4	9	9	10	57	22	13	11	2	1
ACO2	5	4	3	8	17	7	11	10	0	6	16	47	3	6	11	76	9	22	74	72	13	17	4	12	8	1	56	7	35	56	21	35	4	1	3	7	13	10	13	14	20	8	16	1
ACOD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOT11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	2	1	0	3	0	0	0	0	0	0	1	0	5	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ACOT12	1	0	0	0	1	0	0	1	0	0	0	1	0	1	1	0	0	1	0	2	0	0	0	0	0	0	1	0	2	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0
ACOT13	10	5	8	9	22	25	26	20	0	28	5	60	8	17	21	76	8	58	45	79	40	13	2	13	8	1	48	4	63	69	71	54	0	5	13	14	19	16	22	22	8	12	27	3
ACOT2	9	9	3	3	13	3	5	8	0	9	8	91	0	5	4	138	16	45	54	130	37	10	2	9	2	1	68	4	53	80	36	28	0	7	0	6	9	6	5	10	16	4	11	0
ACOT4	3	1	2	0	0	2	2	7	0	13	2	19	0	4	4	44	3	9	11	48	8	3	3	1	0	0	11	1	20	25	11	15	0	1	3	0	7	3	1	8	4	5	1	0
ACOT6	0	0	0	1	3	0	0	0	0	0	1	2	0	2	0	2	0	1	6	2	0	0	0	2	0	0	0	0	1	4	0	0	0	0	0	0	0	0	2	3	1	1	2	0
ACOT7	0	3	1	4	1	2	1	3	0	2	3	32	1	1	4	46	1	4	10	32	8	4	1	6	8	0	14	1	12	21	18	8	0	0	1	1	4	1	3	3	2	0	4	1
ACOT8	1	1	0	0	2	0	3	1	0	0	0	7	0	1	1	23	0	0	5	17	1	4	2	1	0	0	3	0	10	11	3	5	0	0	1	0	2	0	3	3	0	1	0	0
ACOT9	7	5	6	6	19	12	8	13	0	9	10	68	2	14	21	169	8	42	47	151	33	7	3	16	4	0	72	4	73	83	36	57	4	2	8	9	21	21	29	32	13	10	10	0
ACOX1	0	0	1	3	2	1	0	0	0	0	0	1	0	1	1	6	1	2	4	11	3	2	1	2	1	0	6	1	10	15	1	6	0	0	0	0	1	3	3	0	1	2	2	0
ACOX2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ACOX3	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	1	1	3	0	2	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	0	0
ACP1	22	9	20	6	21	25	21	48	0	33	7	115	8	22	34	217	17	77	87	219	103	15	6	30	7	0	114	8	144	135	80	80	9	3	10	20	20	28	27	45	8	15	25	0
ACP2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0
ACP4	0	0	0	0	0	0	0	3	0	1	0	1	0	0	1	0	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0
ACP5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ACP6	1	0	0	2	0	2	1	1	0	0	2	6	0	2	1	11	0	4	4	11	0	2	0	0	0	1	9	2	6	7	5	0	0	0	0	1	1	0	4	3	0	0	1	0
ACP7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACPP	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACR	0	0	0	0	0	0	0	0	0	0	0	5	0	1	1	6	1	1	2	8	0	2	0	0	0	0	2	0	3	1	1	0	0	0	0	1	1	2	1	0	0	0	0	0
ACRBP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACRV1	1	0	0	0	1	0	0	3	0	0	1	5	0	0	1	2	0	1	3	2	0	0	0	0	1	0	1	0	1	1	2	1	0	0	0	0	0	1	0	0	0	0	0	0
ACSBG1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ACSBG2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSF2	1	0	0	0	0	0	0	0	0	1	0	1	0	0	2	3	0	0	4	0	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSF3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ACSL1	3	0	0	0	4	2	0	1	0	4	0	16	0	0	2	34	1	4	3	21	6	1	0	2	0	0	6	1	8	11	5	2	1	0	0	0	0	0	1	0	3	0	0	0
ACSL3	9	4	9	1	19	16	14	36	0	19	12	198	3	15	28	251	11	77	69	339	72	21	4	8	12	3	143	8	186	177	72	90	3	4	9	15	17	38	25	23	6	11	15	3
ACSL4	2	1	1	0	0	3	0	3	0	1	2	9	0	0	2	19	2	1	4	12	5	3	0	1	0	0	10	12	13	10	9	9	2	0	1	0	0	2	8	0	0	0	2	0
ACSL5	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	1	4	2	1	1	0	0	0	0	2	2	2	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0
ACSL6	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	2	0	3	1	4	0	0	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ACSM3	2	0	0	0	1	1	1	1	0	2	0	1	0	0	0	5	0	3	2	3	1	0	1	2	0	0	2	0	5	10	5	3	1	0	0	0	1	3	2	2	1	2	0	0
ACSM4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACSM5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ACSS1	0	0	0	0	0	0	0	3	0	1	0	7	0	0	1	2	0	1	4	7	0	0	0	0	0	0	0	0	3	2	3	0	0	0	0	0	0	0	0	0	0	1	2	0
ACSS2	3	2	1	0	1	1	4	3	0	0	1	16	3	0	4	31	1	7	8	28	4	1	1	5	1	0	6	0	17	9	5	11	3	0	1	3	1	1	1	6	3	0	1	0
