Gene	OF3_OO_sc.1	OF3_OO_sc.2	OF3_OO_sc.3	OF3_OO_sc.4	OF3_OO_sc.5	OF3_OO_sc.6	OF3_OO_sc.7	OF3_OO_sc.8	OF3_OO_sc.9	OF3_OO_sc.10	OF3_OO_sc.11	OF3_OO_sc.12	OF3_OO_sc.13	OF3_OO_sc.14	OF3_OO_sc.15	OF3_OO_sc.16	OF3_OO_sc.17	OF3_OO_sc.18	OF3_OO_sc.19	OF3_OO_sc.20	OF3_OO_sc.21	OF3_OO_sc.22	OF3_OO_sc.23	OF3_OO_sc.24	OF3_OO_sc.25	OF3_OO_sc.26	OF3_OO_sc.27	OF3_OO_sc.28	OF3_OO_sc.29	OF3_OO_sc.30	OF3_OO_sc.31	OF3_OO_sc.32	OF3_OO_sc.33	OF3_OO_sc.34	OF3_OO_sc.35	OF3_OO_sc.36	OF3_OO_sc.37	OF3_OO_sc.38	OF3_OO_sc.39	OF3_OO_sc.40	OF3_OO_sc.41	OF3_OO_sc.42	OF3_OO_sc.43	OF3_OO_sc.44
SVEP1	3	0	3	0	1	4	2	1	0	0	1	13	1	1	3	23	1	8	8	30	8	1	1	0	1	0	12	0	11	16	6	2	0	0	0	0	0	2	4	0	0	1	4	0
SVIL	0	1	2	0	0	0	0	0	0	1	0	6	0	1	0	7	1	4	6	17	7	1	0	0	1	0	3	14	7	4	6	6	0	0	0	1	0	0	0	0	1	0	0	0
SVIP	48	23	50	17	58	62	25	73	0	62	35	170	20	52	77	210	32	105	130	246	111	35	18	57	31	2	184	21	203	195	141	151	15	14	36	42	40	59	75	74	29	40	57	9
SVOP	0	1	0	0	2	0	0	4	0	0	0	6	0	1	5	26	1	3	4	24	4	3	0	0	0	0	7	0	8	10	10	5	0	0	1	1	2	0	2	2	2	1	0	0
SVOPL	3	3	2	0	1	4	3	3	0	11	5	55	1	1	5	177	2	28	38	122	16	10	1	8	2	0	42	1	49	70	35	32	1	0	2	4	4	4	4	14	0	1	0	2
SWAP70	12	9	6	5	18	14	12	24	0	15	14	103	4	16	25	96	9	40	64	124	31	26	8	18	4	0	63	18	98	69	40	37	3	15	3	7	9	12	12	12	10	6	21	4
SWSAP1	0	0	1	0	0	1	3	0	0	1	0	0	0	3	4	10	2	3	4	7	0	2	0	1	0	0	0	0	2	9	2	2	0	0	1	3	3	3	3	0	0	5	2	0
SWT1	7	5	13	1	3	12	13	31	1	18	8	97	3	11	27	161	15	82	71	180	51	17	2	6	10	2	104	9	114	140	53	66	1	0	13	1	11	15	18	27	4	2	7	2
SYBU	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYCE1	1	1	2	1	8	3	1	4	0	1	2	34	2	9	5	90	3	18	22	72	7	11	1	9	2	2	23	1	30	51	30	17	2	5	6	9	13	13	19	14	7	9	13	1
